1000, initial, 0
989, t4-init, 303240484592506043/4503599627370496
989, t9-init, 303240484592506043/4503599627370496
989, t10-init, 303240484592506043/4503599627370496
989, t9-end, 303240484592506043/4503599627370496
968, initial, 75824376766000601/1125899906842624
968, t1-init, 75824376766000601/1125899906842624
991, t8-end, 611455919875040659/9007199254740992
991, t4-init, 611455919875040659/9007199254740992
991, t9-init, 611455919875040659/9007199254740992
968, t1-end, 153857869554896705/2251799813685248
968, t2-init, 153857869554896705/2251799813685248
969, t1-end, 154136032132177073/2251799813685248
969, t2-init, 154136032132177073/2251799813685248
987, t2-end, 308848645076022043/4503599627370496
987, final, 308848645076022043/4503599627370496
975, t2-end, 77235010231819511/1125899906842624
975, t3-init, 77235010231819511/1125899906842624
989, t10-end, 311301493467958607/4503599627370496
991, t10-init, 311301493467958607/4503599627370496
967, initial, 77865273959483091/1125899906842624
967, t1-init, 77865273959483091/1125899906842624
971, t2-end, 314717554847310915/4503599627370496
971, t3-init, 314717554847310915/4503599627370496
966, initial, 79453287735026477/1125899906842624
966, t1-init, 79453287735026477/1125899906842624
967, t1-end, 159059735233936067/2251799813685248
967, t2-init, 159059735233936067/2251799813685248
981, t3-end, 19962847805570399/281474976710656
981, t6-init, 19962847805570399/281474976710656
977, t2-end, 639025900746186893/9007199254740992
977, t2-init, 639025900746186893/9007199254740992
966, t1-end, 644038960372953599/9007199254740992
966, t2-init, 644038960372953599/9007199254740992
991, t9-end, 644487297553162711/9007199254740992
981, t6-end, 647348342406104111/9007199254740992
981, t8-init, 647348342406104111/9007199254740992
989, t4-end, 324198814378274011/4503599627370496
986, t11-end, 324452169048878257/4503599627370496
989, t11-init, 324452169048878257/4503599627370496
986, final, 324452169048878257/4503599627370496
983, t2-end, 162454998963415381/2251799813685248
983, final, 162454998963415381/2251799813685248
995, t2-end, 81369235003819347/1125899906842624
995, final, 81369235003819347/1125899906842624
971, t3-end, 325795287917813111/4503599627370496
971, t6-init, 325795287917813111/4503599627370496
991, t4-end, 652970557495498947/9007199254740992
975, t3-end, 81972649397911529/1125899906842624
975, t6-init, 81972649397911529/1125899906842624
974, t10-end, 328105471991100163/4503599627370496
974, t11-init, 328105471991100163/4503599627370496
965, initial, 82248511271997069/1125899906842624
965, t1-init, 82248511271997069/1125899906842624
981, t8-end, 658130031141929323/9007199254740992
981, t4-init, 658130031141929323/9007199254740992
981, t9-init, 658130031141929323/9007199254740992
981, t10-init, 658130031141929323/9007199254740992
964, initial, 82307832678086533/1125899906842624
964, t1-init, 82307832678086533/1125899906842624
972, t2-end, 329290541597418369/4503599627370496
972, final, 329290541597418369/4503599627370496
971, t6-end, 330563250432106321/4503599627370496
971, t8-init, 330563250432106321/4503599627370496
991, t10-end, 331685772050392375/4503599627370496
975, t6-end, 663589402286879353/9007199254740992
975, t8-init, 663589402286879353/9007199254740992
963, initial, 83044432792341717/1125899906842624
963, t1-init, 83044432792341717/1125899906842624
988, t2-end, 166142572905931963/2251799813685248
988, t2-init, 166142572905931963/2251799813685248
965, t1-end, 333592436568516047/4503599627370496
965, t2-init, 333592436568516047/4503599627370496
962, initial, 83426344357951035/1125899906842624
962, t1-init, 83426344357951035/1125899906842624
978, t2-end, 333896487328540995/4503599627370496
978, t2-init, 333896487328540995/4503599627370496
981, t9-end, 668919049690760623/9007199254740992
997, t11-end, 335089906888495675/4503599627370496
991, t11-init, 335089906888495675/4503599627370496
997, final, 335089906888495675/4503599627370496
963, t1-end, 335898628825171357/4503599627370496
963, t2-init, 335898628825171357/4503599627370496
961, initial, 84014885532460803/1125899906842624
961, t1-init, 84014885532460803/1125899906842624
962, t1-end, 672887850075082299/9007199254740992
962, t2-init, 672887850075082299/9007199254740992
971, t8-end, 84399159323348927/1125899906842624
971, t4-init, 84399159323348927/1125899906842624
971, t9-init, 84399159323348927/1125899906842624
971, t10-init, 84399159323348927/1125899906842624
964, t1-end, 169483916367263301/2251799813685248
964, t2-init, 169483916367263301/2251799813685248
960, initial, 84933548382841445/1125899906842624
960, t1-init, 84933548382841445/1125899906842624
976, t2-end, 341508390471037903/4503599627370496
976, t3-init, 341508390471037903/4503599627370496
960, t1-end, 342035238086953423/4503599627370496
960, t2-init, 342035238086953423/4503599627370496
971, t9-end, 342607908958525763/4503599627370496
975, t8-end, 685248289363561761/9007199254740992
975, t4-init, 685248289363561761/9007199254740992
975, t9-init, 685248289363561761/9007199254740992
975, t10-init, 685248289363561761/9007199254740992
975, t4-end, 685248289363561761/9007199254740992
959, initial, 86179661206410133/1125899906842624
959, t1-init, 86179661206410133/1125899906842624
961, t1-end, 86441760670812397/1125899906842624
961, t2-init, 86441760670812397/1125899906842624
975, t9-end, 692981579861430553/9007199254740992
981, t4-end, 697740114344687083/9007199254740992
959, t1-end, 349233737627707087/4503599627370496
959, t2-init, 349233737627707087/4503599627370496
981, t10-end, 699430465634482019/9007199254740992
974, t11-end, 353297482406703875/4503599627370496
981, t11-init, 353297482406703875/4503599627370496
974, final, 353297482406703875/4503599627370496
976, t3-end, 358117379857622181/4503599627370496
976, t6-init, 358117379857622181/4503599627370496
971, t4-end, 44834922996766269/562949953421312
958, initial, 89792562300049929/1125899906842624
958, t1-init, 89792562300049929/1125899906842624
958, t1-end, 90208633405070635/1125899906842624
958, t2-init, 90208633405070635/1125899906842624
973, t2-end, 181217309724093167/2251799813685248
973, t3-init, 181217309724093167/2251799813685248
976, t6-end, 362682359856205357/4503599627370496
976, t7-init, 362682359856205357/4503599627370496
973, t3-end, 182530802168620381/2251799813685248
973, t6-init, 182530802168620381/2251799813685248
988, t2-end, 184356075554939995/2251799813685248
988, final, 184356075554939995/2251799813685248
971, t10-end, 92218430237606911/1125899906842624
962, t2-end, 738788933350402219/9007199254740992
962, t2-init, 738788933350402219/9007199254740992
973, t6-end, 369746202959880723/4503599627370496
973, t8-init, 369746202959880723/4503599627370496
